series,episode,name,date,player,total
5,3,Phoenix.,2017-09-27,Sally Phillips,16
5,3,Phoenix.,2017-09-27,Bob Mortimer,17
5,4,Residue around the hoof.,2017-10-04,Nish Kumar,12
5,4,Residue around the hoof.,2017-10-04,Sally Phillips,15
5,4,Residue around the hoof.,2017-10-04,Bob Mortimer,21
5,4,Residue around the hoof.,2017-10-04,Aisling Bea,24
5,4,Residue around the hoof.,2017-10-04,Mark Watson,24
5,5,A wind-dried puffin.,2017-10-11,Nish Kumar,13
5,5,A wind-dried puffin.,2017-10-11,Bob Mortimer,14
5,5,A wind-dried puffin.,2017-10-11,Sally Phillips,14
5,5,A wind-dried puffin.,2017-10-11,Aisling Bea,15
5,5,A wind-dried puffin.,2017-10-11,Mark Watson,16
5,6,Spoony Neeson.,2017-10-18,Nish Kumar,12
5,6,Spoony Neeson.,2017-10-18,Mark Watson,13
5,6,Spoony Neeson.,2017-10-18,Aisling Bea,17
5,6,Spoony Neeson.,2017-10-18,Bob Mortimer,18
5,6,Spoony Neeson.,2017-10-18,Sally Phillips,18
5,7,Boing boing.,2017-10-25,Nish Kumar,12
5,7,Boing boing.,2017-10-25,Mark Watson,15
5,7,Boing boing.,2017-10-25,Sally Phillips,16
5,7,Boing boing.,2017-10-25,Aisling Bea,17
5,7,Boing boing.,2017-10-25,Bob Mortimer,18
5,8,Their water's so delicious.,2017-11-01,Aisling Bea,10
5,8,Their water's so delicious.,2017-11-01,Mark Watson,11
5,8,Their water's so delicious.,2017-11-01,Nish Kumar,14
5,8,Their water's so delicious.,2017-11-01,Bob Mortimer,16
5,8,Their water's so delicious.,2017-11-01,Sally Phillips,17
6,1,The old soft curved padlock.,2018-05-02,Asim Chaudhry,8
6,1,The old soft curved padlock.,2018-05-02,Tim Vine,11
6,1,The old soft curved padlock.,2018-05-02,Liza Tarbuck,17
6,1,The old soft curved padlock.,2018-05-02,Alice Levine,18
6,1,The old soft curved padlock.,2018-05-02,Russell Howard,18
6,2,Tarpeters.,2018-05-09,Alice Levine,13
6,2,Tarpeters.,2018-05-09,Asim Chaudhry,13
6,2,Tarpeters.,2018-05-09,Russell Howard,14
6,2,Tarpeters.,2018-05-09,Tim Vine,14
6,2,Tarpeters.,2018-05-09,Liza Tarbuck,19
6,3,One warm prawn.,2018-05-16,Alice Levine,6
6,3,One warm prawn.,2018-05-16,Tim Vine,15
6,3,One warm prawn.,2018-05-16,Russell Howard,16
6,3,One warm prawn.,2018-05-16,Asim Chaudhry,19
6,3,One warm prawn.,2018-05-16,Liza Tarbuck,22
6,4,BMXing!,2018-05-23,Asim Chaudhry,18
6,4,BMXing!,2018-05-23,Liza Tarbuck,20
6,4,BMXing!,2018-05-23,Tim Vine,21
6,4,BMXing!,2018-05-23,Alice Levine,23
